{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 8696, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 8700, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 8748, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 8788, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'CoreSync.exe'}
{'pid': 8816, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'AdobeIPCBroker.exe'}
{'pid': 8948, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ApplicationFrameHost.exe'}
{'pid': 8992, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'CCXProcess.exe'}
{'pid': 9060, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 9080, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'pycharm64.exe'}
{'pid': 9348, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 9368, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe'}
{'pid': 9424, 'username': None, 'name': 'ZVMonNt.exe'}
{'pid': 9428, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 9624, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 9696, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'node.exe'}
{'pid': 9716, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 9736, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 9740, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 9800, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'FEDIT.EXE'}
{'pid': 9856, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe'}
{'pid': 9884, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 9992, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'python.exe'}
{'pid': 10028, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe'}
{'pid': 10140, 'username': None, 'name': 'sppsvc.exe'}
{'pid': 10148, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 10348, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe'}
{'pid': 10368, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 10652, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe'}
{'pid': 11036, 'username': None, 'name': 'svchost.exe'}
{'pid': 11100, 'username': None, 'name': 'ZVCMD64.EXE'}
{'pid': 11208, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 11312, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 11512, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Adobe CEF Helper.exe'}
{'pid': 11520, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Adobe CEF Helper.exe'}
{'pid': 11532, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe'}
{'pid': 11592, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 11724, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 11772, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 11972, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 12028, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 12060, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 12068, 'username': None, 'name': 'SppExtComObj.Exe'}
{'pid': 12224, 'username': None, 'name': 'NPDMAL.EXE'}
{'pid': 12244, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 12268, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 12440, 'username': None, 'name': 'svchost.exe'}
{'pid': 12536, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 12616, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'dllhost.exe'}
{'pid': 12660, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'winpty-agent.exe'}
{'pid': 12664, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe'}
{'pid': 12676, 'username': None, 'name': 'conhost.exe'}
{'pid': 12824, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'rundll32.exe'}
{'pid': 12832, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe'}
{'pid': 12848, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'LockApp.exe'}
{'pid': 12984, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 13056, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 13608, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'adb.exe'}
{'pid': 13708, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe'}
{'pid': 13956, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'notepad.exe'}
{'pid': 13992, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'winpty-agent.exe'}
{'pid': 14024, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'NPAV4.EXE'}
{'pid': 14184, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'smartscreen.exe'}
