{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 8000, 'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8184, 'name': 'igfxEM.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8360, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8376, 'name': 'DolbyDAX2Toast.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8440, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8456, 'name': 'studio64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8484, 'name': 'SkypeBackgroundHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8524, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8548, 'name': 'NPAVIDS.EXE', 'username': None}
{'pid': 8552, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8688, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8696, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8700, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8748, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8788, 'name': 'CoreSync.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8816, 'name': 'AdobeIPCBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8948, 'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 8992, 'name': 'CCXProcess.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9060, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9080, 'name': 'pycharm64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9348, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9424, 'name': 'ZVMonNt.exe', 'username': None}
{'pid': 9428, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9624, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9696, 'name': 'node.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9716, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9736, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 9740, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
