--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'SystemSettingsBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10188}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10368}
{'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10652}
{'name': 'svchost.exe', 'username': None, 'pid': 11036}
{'name': 'ZVCMD64.EXE', 'username': None, 'pid': 11100}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11164}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11208}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11312}
{'name': 'Adobe CEF Helper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11512}
{'name': 'Adobe CEF Helper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11520}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11532}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11592}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11724}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11772}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 11972}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12028}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12060}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12244}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12268}
{'name': 'svchost.exe', 'username': None, 'pid': 12440}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12536}
{'name': 'dllhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12616}
{'name': 'winpty-agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12660}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12664}
{'name': 'conhost.exe', 'username': None, 'pid': 12676}
{'name': 'rundll32.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12824}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12832}
{'name': 'LockApp.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12848}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 12984}
